"","Label","Week","summedMilk"
"1","QRCode",1,2
"2","QRCode",2,14
"3","QRCode",3,12
"4","QRCode",4,19
"5","QRCode",5,7
"6","QRCode",6,6
"7","QRCode",7,13
"8","QRCode",8,6
"9","Static",1,4
"10","Static",2,9
"11","Static",3,4
"12","Static",4,3
"13","Static",5,6
"14","Static",6,7
"15","Static",7,11
"16","Static",8,5
