"","Type","Week","Quantity"
"1","QRScans",2,4
"2","QRScans",3,4
"3","QRScans",4,4
"4","QRScans",5,3
"5","QRScans",6,3
"6","QRScans",7,5
"7","QRScans",8,4
"8","QRScans",1,0
"9","QRSales",1,2
"10","QRSales",2,14
"11","QRSales",3,12
"12","QRSales",4,19
"13","QRSales",5,7
"14","QRSales",6,6
"15","QRSales",7,13
"16","QRSales",8,6
