Sales Mix by Item Group,,,,,,,,
Business Dates,1/1/2021 - 12/31/2021,,,,,,,
Locations,All,,,,,,,
Revenue Centers,StockingHallCafe,,,,,,,
Group,Sales Less Item Disc,% Sales,% Major Group,% Family Group,Item Discounts,Qty Sold,Average Price,Year
Convenience,"122,018.75",18.8%,,,(339.53),"32,301",3.78,
Dairy,"27,398.55",4.2%,22.5%,,(107.42),"5,923",4.63,
AgedChedWheel2LB,"7,678.74",1.2%,6.3%,28.0%,(3.00),226,33.98,2021
CornelChocMlk1Qt,"3,665.30",0.6%,3.0%,13.4%,(17.69),"1,541",2.38,2021
QuarterChseSlice,"2,969.71",0.5%,2.4%,10.8%,(7.31),298,9.97,2021
Chedd Mild Wheel,"2,899.82",0.4%,2.4%,10.6%,(3.30),88,32.95,2021
CornelMilk1/2Gal,"1,330.59",0.2%,1.1%,4.9%,(25.16),425,3.13,2021
Eggnog Quart,"1,207.90",0.2%,1.0%,4.4%,(5.96),174,6.94,2021
CornelWhlMilk1Qt,"1,006.72",0.2%,0.8%,3.7%,(4.20),508,1.98,2021
Corn2%Milk1/2Gal,783.90,0.1%,0.6%,2.9%,(0.84),246,3.19,2021
SaltedButter 1LB,706.22,0.1%,0.6%,2.6%,(0.60),118,5.98,2021
Cornel2%Milk1Qt,570.53,0.1%,0.5%,2.1%,(1.20),287,1.99,2021
Peach Yogurt,467.98,0.1%,0.4%,1.7%,(4.62),340,1.38,2021
StrawberryYogurt,431.44,0.1%,0.4%,1.6%,(2.24),312,1.38,2021
Mango Yogurt,423.37,0.1%,0.3%,1.5%,(3.36),307,1.38,2021
VanillaYogrt32oz,361.38,0.1%,0.3%,1.3%,(2.10),52,6.95,2021
BlackCherryYog32,340.41,0.1%,0.3%,1.2%,(2.10),49,6.95,2021
StrawberryYog32z,336.21,0.1%,0.3%,1.2%,(6.30),49,6.86,2021
BlackCheryYogurt,326.92,0.1%,0.3%,1.2%,(1.12),236,1.39,2021
PlainYogurt32oz,320.14,0.0%,0.3%,1.2%,(1.40),46,6.96,2021
Peach Yogurt32oz,319.44,0.0%,0.3%,1.2%,(2.10),46,6.94,2021
CDYogurtVan6oz,296.57,0.0%,0.2%,1.1%,(0.13),230,1.29,2021
Mango Yogurt32oz,281.70,0.0%,0.2%,1.0%,(4.89),41,6.87,2021
CornSkMilk1/2Gal,240.19,0.0%,0.2%,0.9%,(5.44),77,3.12,2021
SoyMilkChoc8.25z,198.07,0.0%,0.2%,0.7%,(0.38),105,1.89,2021
CUMilkSkimQuart,131.73,0.0%,0.1%,0.5%,(1.60),67,1.97,2021
SoyMilkVan8oz,103.57,0.0%,0.1%,0.4%,(0.38),55,1.88,2021
Chobani Yogurt 6oz,0.00,0.0%,0.0%,0.0%,0.00,0,0.00,2021
Show Price Levels,,,,,,,,
