Sales Mix by Item Group,,,,,,,,
Business Dates,1/1/2020 - 12/31/2020,,,,,,,
Locations,All,,,,,,,
Revenue Centers,StockingHallCafe,,,,,,,
Group,Sales Less Item Disc,% Sales,% Major Group,% Family Group,Item Discounts,Qty Sold,Average Price,Year
Convenience,"40,833.74",23.1%,,,(170.30),"9,804",4.17,
Dairy,"12,239.54",6.9%,30.0%,,(48.08),"2,228",5.49,
AgedChedWheel2LB,"4,282.74",2.4%,10.5%,35.0%,0.00,126,33.99,2020
Chedd Mild Wheel,"1,484.55",0.8%,3.6%,12.1%,0.00,45,32.99,2020
QuarterChseSlice,"1,438.56",0.8%,3.5%,11.8%,0.00,144,9.99,2020
CornelChocMlk1Qt,"1,118.49",0.6%,2.7%,9.1%,(7.20),471,2.37,2020
CornelMilk1/2Gal,578.64,0.3%,1.4%,4.7%,(11.51),185,3.13,2020
Corn2%Milk1/2Gal,527.92,0.3%,1.3%,4.3%,(8.00),168,3.14,2020
SaltedButter 1LB,359.40,0.2%,0.9%,2.9%,0.00,60,5.99,2020
CornelWhlMilk1Qt,329.72,0.2%,0.8%,2.7%,(4.60),168,1.96,2020
Eggnog Quart,201.17,0.1%,0.5%,1.6%,(1.48),35,5.75,2020
Cornel2%Milk1Qt,193.81,0.1%,0.5%,1.6%,(1.10),89,2.18,2020
Mango Yogurt32oz,175.29,0.1%,0.4%,1.4%,(1.40),31,5.65,2020
BlackCherryYog32,168.00,0.1%,0.4%,1.4%,(1.70),30,5.60,2020
StrawberryYogurt,167.81,0.1%,0.4%,1.4%,(2.38),131,1.28,2020
StrawberryYog32z,157.93,0.1%,0.4%,1.3%,(2.80),27,5.85,2020
Mango Yogurt,152.81,0.1%,0.4%,1.2%,(1.21),118,1.30,2020
Peach Yogurt,150.23,0.1%,0.4%,1.2%,(1.21),116,1.30,2020
PlainYogurt32oz,134.77,0.1%,0.3%,1.1%,0.00,23,5.86,2020
BlackCheryYogurt,133.64,0.1%,0.3%,1.1%,(0.92),104,1.29,2020
VanillaYogrt32oz,128.77,0.1%,0.3%,1.1%,0.00,23,5.60,2020
Peach Yogurt32oz,102.11,0.1%,0.3%,0.8%,(0.70),19,5.37,2020
CornSkMilk1/2Gal,98.25,0.1%,0.2%,0.8%,(0.64),31,3.17,2020
SoyMilkChoc8.25z,69.36,0.0%,0.2%,0.6%,(0.57),37,1.87,2020
CUMilkSkimQuart,47.36,0.0%,0.1%,0.4%,(0.40),24,1.97,2020
SoyMilkVan8oz,24.57,0.0%,0.1%,0.2%,0.00,13,1.89,2020
CDYogurtVan6oz,11.35,0.0%,0.0%,0.1%,(0.26),9,1.26,2020
Chobani Yogurt 6oz,2.29,0.0%,0.0%,0.0%,0.00,1,2.29,2020
Show Price Levels,,,,,,,,
